tax name,filename,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025
income tax,\\thresholds_income_tax.csv,\\2020-2021,\\2021-2022,\\2022-2023,\\2023-2024,\\2024-2025
employee ni,\\thresholds_employee_national_insurance.csv,\\2020-2021,\\2021-2022,\\2022-2023,\\2023-2024,\\2024-2026
corporate ni,\\thresholds_corporate_national_insurance.csv,\\2020-2021,\\2021-2022,\\2022-2023,\\2023-2024,\\2024-2027
dividend rates,\\rates_dividend.csv,\\2020-2021,\\2021-2022,\\2022-2023,\\2023-2024,\\2024-2028
student loans,\\thresholds_student_loans.csv,\\2020-2021,\\2021-2022,\\2022-2023,\\2023-2024,\\2024-2029
corporation tax,\\thresholds_corporation_tax.csv,\\2020-2021,\\2021-2022,\\2022-2023,\\2023-2024,\\2024-2030
employee ni bands,\\bands_employee_ni.csv,\\2020-2021,\\2021-2022,\\2022-2023,\\2023-2024,\\2024-2031
corporate ni bands,\\bands_corporate_ni.csv,\\2020-2021,\\2021-2022,\\2022-2023,\\2023-2024,\\2024-2032
high income threshold,\\single_threshold_allowance_change.csv,\\2020-2021,\\2021-2022,\\2022-2023,\\2023-2024,\\2024-2033
dividend tax free allowance,\\single_threshold_dividends_tax_free.csv,\\2020-2021,\\2021-2022,\\2022-2023,\\2023-2024,\\2024-2034
