well      sample name         
A1        PB1                 
A2        EC1                 
A3        S1                  
A4        S2                  
A5        S3                  
A6        S4                  
A7        S5                  
A8        S6                  
A9        S7                  
A10       S8                  
A11       S9                  
A12       S10                 
B1        S11                 
B2        PO1                 
B3        EC2                 
B4        S12                 
B5        S13                 
B6        S14                 
B7        S15                 
B8        S16                 
B9        S17                 
B10       S18                 
B11       S19                 
B12       S20                 
C1        S21                 
C2        S22                 
C3        PB2                 
C4        EC3                 
C5        S23                 
C6        S24                 
C7        S25                 
C8        S26                 
C9        S27                 
C10       S28                 
C11       S29                 
C12       S30                 
D1        S31                 
D2        S32                 
D3        S33                 
D4        PO2                 
D5        EC4                 
D6        S34                 
D7        S35                 
D8        S36                 
D9        S37                 
D10       S38                 
D11       S39                 
D12       S40                 
E1        S41                 
E2        S42                 
E3        S43                 
E4        S44                 
E5        PB3                 
E6        EC5                 
E7        S45                 
E8        S46                 
E9        S47                 
E10       S48                 
E11       S49                 
E12       S50                 
F1        S51                 
F2        S52                 
F3        S53                 
F4        S54                 
F5        S55                 
F6        PO3                 
F7        EC6                 
F8        S56                 
F9        S57                 
F10       S58                 
F11       S59                 
F12       S60                 
G1        S61                 
G2        S62                 
G3        S63                 
G4        S64                 
G5        S65                 
G6        S66                 
G7        PB4                 
G8        EC7                 
G9        S67                 
G10       S68                 
G11       S69                 
G12       S70                 
H1        S71                 
H2        S72                 
H3        S73                 
H4        S74                 
H5        S75                 
H6        S76                 
H7        S77                 
H8        PO4                 
H9        EC8                 
H10       S78                 
H11       S79                 
H12       S80                 
